snapshot_date,rank,rank_change,package,app_name,rating,lifetime_installs_rounded,recent_30d_installs_rounded,scraped_at,run_id
2026-08-31,1,0,com.noisefit,NoiseFit: Health & Fitness,4.5,56000000,730000,2026-08-31T07:39:22.155Z,2026-08-31_1788161960
2026-08-31,2,0,com.traya.prod,Traya: Hair Loss Solutions,4.5,16000000,710000,2026-08-31T07:39:22.157Z,2026-08-31_1788161960
2026-08-31,3,1,in.sweatco.app,Sweatcoin・Walking Step Counter,4.4,160000000,1900000,2026-08-31T07:39:22.158Z,2026-08-31_1788161960
2026-08-31,4,-1,com.coveiot.android.boat,boAt Crest,4,19000000,410000,2026-08-31T07:39:22.158Z,2026-08-31_1788161960
2026-08-31,5,0,com.titan.fastrack.reflex,Fastrack Smart World,3.8,15000000,350000,2026-08-31T07:39:22.159Z,2026-08-31_1788161960
2026-08-31,6,1,com.strava,"Strava: Run, Bike, Walk",4.6,130000000,2700000,2026-08-31T07:39:22.159Z,2026-08-31_1788161960
2026-08-31,7,-1,com.google.android.apps.fitness,Google Fit: Activity Tracking,3.4,360000000,4000000,2026-08-31T07:39:22.159Z,2026-08-31_1788161960
2026-08-31,8,0,care.disha,Disha: AI Health Coach,3.7,6000000,710000,2026-08-31T07:39:22.160Z,2026-08-31_1788161960
2026-08-31,9,1,stepcounter.pedometer.stepstracker,Step Counter - Pedometer,4.8,71000000,1400000,2026-08-31T07:39:22.160Z,2026-08-31_1788161960
2026-08-31,10,2,com.mosaicwellness.ourlittlejoys,Little Joys: Kids' Health App,,2000000,220000,2026-08-31T07:39:22.160Z,2026-08-31_1788161960
2026-08-31,11,-2,nic.goi.aarogyasetu,AarogyaSetu 2.0,3.3,190000000,330000,2026-08-31T07:39:22.161Z,2026-08-31_1788161960
2026-08-31,12,2,com.boAt.wristgear,boAt Wearables,3.2,16000000,210000,2026-08-31T07:39:22.161Z,2026-08-31_1788161960
2026-08-31,13,0,icici.lombard.ghi,IL TakeCare Insurance App,3.6,19000000,250000,2026-08-31T07:39:22.161Z,2026-08-31_1788161960
2026-08-31,14,1,com.seekhoai.android,Seekho Health: Weight Loss App,,1200000,270000,2026-08-31T07:39:22.162Z,2026-08-31_1788161960
