snapshot_date,package,app_name,max_installs,installs_bucket,score,ratings,version,chart_rank,chart,in_chart,in_watchlist,cluster,scraped_at,run_id
2026-09-05,com.sec.android.app.shealth,Samsung Health,2273097370,"1,000,000,000+",4.0444255,1578503,VARY,48,HEALTH_AND_FITNESS,true,false,,2026-09-05T06:19:41.400Z,2026-09-05_1788589123
2026-09-05,com.google.android.apps.healthdata,Health Connect,934247525,"500,000,000+",3.7946303,89506,2026.08.06.00.release,28,HEALTH_AND_FITNESS,true,false,,2026-09-05T06:19:17.984Z,2026-09-05_1788589123
2026-09-05,com.google.android.apps.fitness,Google Fit: Activity Tracking,365070409,"100,000,000+",4.0692844,684686,VARY,5,HEALTH_AND_FITNESS,true,false,,2026-09-05T06:18:50.728Z,2026-09-05_1788589123
2026-09-05,homeworkout.homeworkouts.noequipment,Home Workout - No Equipment,300543349,"100,000,000+",4.8561544,4010032,1.7.8,22,HEALTH_AND_FITNESS,true,false,,2026-09-05T06:19:10.835Z,2026-09-05_1788589123
2026-09-05,com.fitbit.FitbitMobile,Google Health (Fitbit),290461696,"100,000,000+",4.1538105,1305676,VARY,57,HEALTH_AND_FITNESS,true,false,,2026-09-05T06:19:52.200Z,2026-09-05_1788589123
2026-09-05,com.popularapp.periodcalendar,Period Calendar Period Tracker,224476040,"100,000,000+",4.857486,4886130,VARY,74,HEALTH_AND_FITNESS,true,false,,2026-09-05T06:20:12.089Z,2026-09-05_1788589123
2026-09-05,sixpack.sixpackabs.absworkout,Six Pack in 30 Days,211623525,"100,000,000+",4.8549275,2842145,1.4.8,54,HEALTH_AND_FITNESS,true,false,,2026-09-05T06:19:48.511Z,2026-09-05_1788589123
2026-09-05,org.iggymedia.periodtracker,Flo Period & Pregnancy Tracker,204459159,"100,000,000+",4.752482,5075019,VARY,37,HEALTH_AND_FITNESS,true,false,,2026-09-05T06:19:28.514Z,2026-09-05_1788589123
2026-09-05,nic.goi.aarogyasetu,AarogyaSetu 2.0,189480908,"100,000,000+",3.9593925,1657517,3.1.5-Ghent Kangri karakoram,9,HEALTH_AND_FITNESS,true,false,,2026-09-05T06:18:55.443Z,2026-09-05_1788589123
2026-09-05,in.sweatco.app,Sweatcoin・Walking Step Counter,160236501,"100,000,000+",4.3951716,3074439,255.0.0,6,HEALTH_AND_FITNESS,true,false,,2026-09-05T06:18:51.925Z,2026-09-05_1788589123
2026-09-05,com.myfitnesspal.android,MyFitnessPal: Calorie Counter,136193701,"100,000,000+",4.5287204,2913104,VARY,89,HEALTH_AND_FITNESS,true,false,,2026-09-05T06:20:29.858Z,2026-09-05_1788589123
2026-09-05,loseweight.weightloss.workout.fitness,Lose Weight - Weight Loss App,135801184,"100,000,000+",4.8126726,1245319,1.097.GP,77,HEALTH_AND_FITNESS,true,false,,2026-09-05T06:20:15.626Z,2026-09-05_1788589123
2026-09-05,loseweightapp.loseweightappforwomen.womenworkoutathome,Lose Weight App for Women,133047465,"100,000,000+",4.824554,1224467,2.4.0,,,false,true,utility,2026-09-05T06:20:52.175Z,2026-09-05_1788589123
2026-09-05,com.strava,"Strava: Run, Bike, Walk",132423777,"100,000,000+",4.660773,1178054,VARY,7,HEALTH_AND_FITNESS,true,false,,2026-09-05T06:18:53.116Z,2026-09-05_1788589123
