snapshot_date,rank,rank_change,package,app_name,rating,lifetime_installs_rounded,recent_30d_installs_rounded,scraped_at,run_id
2026-08-30,1,0,com.noisefit,NoiseFit: Health & Fitness,4.5,56000000,750000,2026-08-30T07:24:55.328Z,2026-08-30_1788074693
2026-08-30,2,0,com.traya.prod,Traya: Hair Loss Solutions,4.5,16000000,710000,2026-08-30T07:24:55.329Z,2026-08-30_1788074693
2026-08-30,3,2,com.coveiot.android.boat,boAt Crest,4,19000000,410000,2026-08-30T07:24:55.329Z,2026-08-30_1788074693
2026-08-30,4,-1,in.sweatco.app,Sweatcoin・Walking Step Counter,4.4,160000000,1900000,2026-08-30T07:24:55.330Z,2026-08-30_1788074693
2026-08-30,5,3,com.titan.fastrack.reflex,Fastrack Smart World,3.8,15000000,340000,2026-08-30T07:24:55.331Z,2026-08-30_1788074693
2026-08-30,6,-2,com.google.android.apps.fitness,Google Fit: Activity Tracking,3.4,360000000,4000000,2026-08-30T07:24:55.331Z,2026-08-30_1788074693
2026-08-30,7,0,com.strava,"Strava: Run, Bike, Walk",4.6,130000000,2800000,2026-08-30T07:24:55.331Z,2026-08-30_1788074693
2026-08-30,8,-2,care.disha,Disha: AI Health Coach,3.7,6000000,710000,2026-08-30T07:24:55.332Z,2026-08-30_1788074693
2026-08-30,9,1,nic.goi.aarogyasetu,AarogyaSetu 2.0,3.3,190000000,330000,2026-08-30T07:24:55.332Z,2026-08-30_1788074693
2026-08-30,10,-1,stepcounter.pedometer.stepstracker,Step Counter - Pedometer,4.8,71000000,1400000,2026-08-30T07:24:55.332Z,2026-08-30_1788074693
2026-08-30,11,0,com.bp.blood.sugar.bloodtracker.app,Blood Sugar Care - BP Monitor,2.6,2200000,990000,2026-08-30T07:24:55.332Z,2026-08-30_1788074693
2026-08-30,12,2,com.mosaicwellness.ourlittlejoys,Little Joys: Kids' Health App,,2000000,220000,2026-08-30T07:24:55.333Z,2026-08-30_1788074693
2026-08-30,13,0,icici.lombard.ghi,IL TakeCare Insurance App,3.6,19000000,250000,2026-08-30T07:24:55.333Z,2026-08-30_1788074693
2026-08-30,14,5,com.boAt.wristgear,boAt Wearables,3.2,16000000,210000,2026-08-30T07:24:55.333Z,2026-08-30_1788074693
2026-08-30,15,-3,com.seekhoai.android,Seekho Health: Weight Loss App,,1200000,270000,2026-08-30T07:24:55.333Z,2026-08-30_1788074693
2026-08-30,16,-1,com.health.care.sleep.sound.pulse.heartbeat,Health Care - Sound,4.5,1900000,320000,2026-08-30T07:24:55.334Z,2026-08-30_1788074693
2026-08-30,17,1,com.wegrow.we_grow,SuperLiving: Weight Loss Coach,,2000000,210000,2026-08-30T07:24:55.334Z,2026-08-30_1788074693
2026-08-30,18,-1,com.asianmobile.gymworkout,Gym Workout Tracker & Fitness,4.1,9100000,180000,2026-08-30T07:24:55.334Z,2026-08-30_1788074693
