snapshot_date,package,app_name,max_installs,installs_bucket,score,ratings,version,chart_rank,chart,in_chart,in_watchlist,cluster,scraped_at,run_id
2026-08-20,com.sec.android.app.shealth,Samsung Health,2269212827,"1,000,000,000+",4.0561566,1576246,VARY,39,HEALTH_AND_FITNESS,true,false,,2026-08-20T02:43:10.207Z,2026-08-20_1787193736
2026-08-20,com.google.android.apps.healthdata,Health Connect,926697333,"500,000,000+",3.7903533,88334,2026.07.09.00.release,22,HEALTH_AND_FITNESS,true,false,,2026-08-20T02:42:50.199Z,2026-08-20_1787193736
2026-08-20,com.transsion.healthlife,My Health,386414102,"100,000,000+",3.8944445,51942,5.6.1.4,82,HEALTH_AND_FITNESS,true,false,,2026-08-20T02:44:07.451Z,2026-08-20_1787193736
2026-08-20,com.google.android.apps.fitness,Google Fit: Activity Tracking,363300246,"100,000,000+",4.069118,684035,VARY,7,HEALTH_AND_FITNESS,true,false,,2026-08-20T02:42:26.747Z,2026-08-20_1787193736
2026-08-20,homeworkout.homeworkouts.noequipment,Home Workout - No Equipment,299776948,"100,000,000+",4.855609,3999179,1.7.7,8,HEALTH_AND_FITNESS,true,false,,2026-08-20T02:42:28.995Z,2026-08-20_1787193736
2026-08-20,com.fitbit.FitbitMobile,Google Health (Fitbit),285841538,"100,000,000+",4.165859,1303475,VARY,53,HEALTH_AND_FITNESS,true,false,,2026-08-20T02:43:30.083Z,2026-08-20_1787193736
2026-08-20,com.popularapp.periodcalendar,Period Calendar Period Tracker,224002366,"100,000,000+",4.856756,4882800,VARY,91,HEALTH_AND_FITNESS,true,false,,2026-08-20T02:44:18.050Z,2026-08-20_1787193736
2026-08-20,sixpack.sixpackabs.absworkout,Six Pack in 30 Days,211344787,"100,000,000+",4.8551435,2836275,1.4.6,44,HEALTH_AND_FITNESS,true,false,,2026-08-20T02:43:16.084Z,2026-08-20_1787193736
2026-08-20,org.iggymedia.periodtracker,Flo Period & Pregnancy Tracker,203579091,"100,000,000+",4.7565064,5048319,10.3.0,35,HEALTH_AND_FITNESS,true,false,,2026-08-20T02:43:05.377Z,2026-08-20_1787193736
2026-08-20,nic.goi.aarogyasetu,AarogyaSetu 2.0,189232448,"100,000,000+",3.958123,1657457,3.1.5-Ghent Kangri karakoram,12,HEALTH_AND_FITNESS,true,false,,2026-08-20T02:42:36.893Z,2026-08-20_1787193736
2026-08-20,in.sweatco.app,Sweatcoin・Walking Step Counter,159366262,"100,000,000+",4.4082093,3034180,253.0.0,5,HEALTH_AND_FITNESS,true,false,,2026-08-20T02:42:24.436Z,2026-08-20_1787193736
2026-08-20,com.myfitnesspal.android,MyFitnessPal: Calorie Counter,135944357,"100,000,000+",4.5347085,2910438,VARY,77,HEALTH_AND_FITNESS,true,false,,2026-08-20T02:44:01.676Z,2026-08-20_1787193736
2026-08-20,loseweightapp.loseweightappforwomen.womenworkoutathome,Lose Weight App for Women,132805897,"100,000,000+",4.8268075,1222447,2.4.0,31,HEALTH_AND_FITNESS,true,true,utility,2026-08-20T02:43:00.722Z,2026-08-20_1787193736
2026-08-20,menloseweight.loseweightappformen.weightlossformen,Lose Weight App for Men,131202983,"100,000,000+",4.8879747,2736276,2.4.36,71,HEALTH_AND_FITNESS,true,false,,2026-08-20T02:43:54.211Z,2026-08-20_1787193736
2026-08-20,com.strava,"Strava: Run, Bike, Walk",131191410,"100,000,000+",4.6491346,1168095,VARY,9,HEALTH_AND_FITNESS,true,false,,2026-08-20T02:42:30.166Z,2026-08-20_1787193736
2026-08-20,pedometer.steptracker.calorieburner.stepcounter,Step Counter - Pedometer,117378369,"100,000,000+",4.846485,1703375,1.6.8,89,HEALTH_AND_FITNESS,true,false,,2026-08-20T02:44:15.752Z,2026-08-20_1787193736
2026-08-20,losebellyfat.flatstomach.absworkout.fatburning,Lose Belly Fat  - Abs Workout,107492708,"100,000,000+",4.762667,517514,1.6.1,73,HEALTH_AND_FITNESS,true,false,,2026-08-20T02:43:56.542Z,2026-08-20_1787193736
2026-08-20,increaseheightworkout.heightincreaseexercise.tallerexercise,Height Increase Workout,99172015,"50,000,000+",4.8294754,768166,1.1.17,34,HEALTH_AND_FITNESS,true,false,,2026-08-20T02:43:04.190Z,2026-08-20_1787193736
