snapshot_date,package,app_name,max_installs,installs_bucket,score,ratings,version,chart_rank,chart,in_chart,in_watchlist,cluster,scraped_at,run_id
2026-08-12,com.sec.android.app.shealth,Samsung Health,2266938488,"1,000,000,000+",4.0618186,1574836,VARY,44,HEALTH_AND_FITNESS,true,false,,2026-08-12T03:51:07.809Z,2026-08-12_1786506617
2026-08-12,com.google.android.apps.healthdata,Health Connect,923101208,"500,000,000+",3.7862632,87725,2026.07.09.00.release,19,HEALTH_AND_FITNESS,true,false,,2026-08-12T03:50:39.854Z,2026-08-12_1786506617
2026-08-12,com.google.android.apps.fitness,Google Fit: Activity Tracking,362269221,"100,000,000+",4.067943,683654,VARY,6,HEALTH_AND_FITNESS,true,false,,2026-08-12T03:50:25.268Z,2026-08-12_1786506617
2026-08-12,homeworkout.homeworkouts.noequipment,Home Workout - No Equipment,299331894,"100,000,000+",4.8552237,3993011,1.7.6,20,HEALTH_AND_FITNESS,true,false,,2026-08-12T03:50:40.990Z,2026-08-12_1786506617
2026-08-12,com.fitbit.FitbitMobile,Google Health (Fitbit),283214017,"100,000,000+",4.168933,1302400,VARY,54,HEALTH_AND_FITNESS,true,false,,2026-08-12T03:51:19.100Z,2026-08-12_1786506617
2026-08-12,com.popularapp.periodcalendar,Period Calendar Period Tracker,223725848,"100,000,000+",4.856237,4880954,VARY,89,HEALTH_AND_FITNESS,true,false,,2026-08-12T03:51:58.239Z,2026-08-12_1786506617
2026-08-12,sixpack.sixpackabs.absworkout,Six Pack in 30 Days,211134419,"100,000,000+",4.8549857,2832495,1.4.6,43,HEALTH_AND_FITNESS,true,false,,2026-08-12T03:51:06.718Z,2026-08-12_1786506617
2026-08-12,org.iggymedia.periodtracker,Flo Period & Pregnancy Tracker,202965953,"100,000,000+",4.7569485,5034951,10.3.0,34,HEALTH_AND_FITNESS,true,false,,2026-08-12T03:50:56.660Z,2026-08-12_1786506617
2026-08-12,nic.goi.aarogyasetu,AarogyaSetu 2.0,189114905,"100,000,000+",3.9576738,1657496,3.1.5-Ghent Kangri karakoram,12,HEALTH_AND_FITNESS,true,false,,2026-08-12T03:50:31.979Z,2026-08-12_1786506617
2026-08-12,in.sweatco.app,Sweatcoin・Walking Step Counter,158936510,"100,000,000+",4.423016,3016075,253.0.0,5,HEALTH_AND_FITNESS,true,false,,2026-08-12T03:50:24.137Z,2026-08-12_1786506617
2026-08-12,com.myfitnesspal.android,MyFitnessPal: Calorie Counter,135791020,"100,000,000+",4.5302324,2909030,VARY,85,HEALTH_AND_FITNESS,true,false,,2026-08-12T03:51:53.707Z,2026-08-12_1786506617
2026-08-12,loseweightapp.loseweightappforwomen.womenworkoutathome,Lose Weight App for Women,132491596,"100,000,000+",4.82799,1220657,2.4.0,31,HEALTH_AND_FITNESS,true,true,utility,2026-08-12T03:50:53.311Z,2026-08-12_1786506617
2026-08-12,menloseweight.loseweightappformen.weightlossformen,Lose Weight App for Men,130909574,"100,000,000+",4.8880734,2732548,2.4.36,17,HEALTH_AND_FITNESS,true,false,,2026-08-12T03:50:37.609Z,2026-08-12_1786506617
2026-08-12,com.strava,"Strava: Run, Bike, Walk",130472745,"100,000,000+",4.6503954,1163294,VARY,10,HEALTH_AND_FITNESS,true,false,,2026-08-12T03:50:29.760Z,2026-08-12_1786506617
2026-08-12,pedometer.steptracker.calorieburner.stepcounter,Step Counter - Pedometer,117130189,"100,000,000+",4.8460884,1701381,1.6.8,86,HEALTH_AND_FITNESS,true,false,,2026-08-12T03:51:54.871Z,2026-08-12_1786506617
2026-08-12,increaseheightworkout.heightincreaseexercise.tallerexercise,Height Increase Workout,98925654,"50,000,000+",4.8302016,766140,1.1.17,26,HEALTH_AND_FITNESS,true,false,,2026-08-12T03:50:47.709Z,2026-08-12_1786506617
2026-08-12,bloodpressure.bloodpressureapp.bloodpressuretracker,Blood Pressure Tracker,96338248,"50,000,000+",4.6998806,393161,1.9.6,74,HEALTH_AND_FITNESS,true,false,,2026-08-12T03:51:41.430Z,2026-08-12_1786506617
2026-08-12,com.tayu.tau.pedometer,Pedometer - Step Counter,88232788,"50,000,000+",4.7900286,1039733,5.61,51,HEALTH_AND_FITNESS,true,false,,2026-08-12T03:51:15.765Z,2026-08-12_1786506617
2026-08-12,com.xiaomi.wearable,Mi Fitness (Xiaomi Wear),79790174,"50,000,000+",4.443076,1594207,3.57.0i,55,HEALTH_AND_FITNESS,true,false,,2026-08-12T03:51:20.256Z,2026-08-12_1786506617
2026-08-12,stepcounter.pedometer.stepstracker,Step Counter - Pedometer,70529162,"50,000,000+",4.8307576,787733,1.5.7,11,HEALTH_AND_FITNESS,true,false,,2026-08-12T03:50:30.875Z,2026-08-12_1786506617
2026-08-12,com.clue.android,Clue: Period & Cycle Tracker,69425125,"50,000,000+",4.418706,1486340,265.0,81,HEALTH_AND_FITNESS,true,false,,2026-08-12T03:51:49.248Z,2026-08-12_1786506617
2026-08-12,pedometer.stepcounter.calorieburner.pedometerforwalking,Pedometer - Step Counter,64321541,"50,000,000+",4.8215036,946989,2.5.2,42,HEALTH_AND_FITNESS,true,false,,2026-08-12T03:51:05.610Z,2026-08-12_1786506617
2026-08-12,com.yazio.android,Yazio: AI Calorie Tracker,57189870,"50,000,000+",4.444172,845943,26.31.0,,,false,true,ai-tracker,2026-08-12T03:52:27.061Z,2026-08-12_1786506617
2026-08-12,bodyfast.zero.fastingtracker.weightloss,Fasting - Intermittent Fasting,56553678,"50,000,000+",4.836108,974952,2.5.4,,,false,true,ai-tracker,2026-08-12T03:52:24.855Z,2026-08-12_1786506617
2026-08-12,com.noisefit,NoiseFit: Health & Fitness,55539313,"50,000,000+",4.4033146,2473244,5.3.0,3,HEALTH_AND_FITNESS,true,false,,2026-08-12T03:50:21.893Z,2026-08-12_1786506617
2026-08-12,weightloss.weightlossforwomen.workoutforwomen.womenworkout,Weight Loss for Women: Workout,47806895,"10,000,000+",4.7579374,455668,1.9.9,9,HEALTH_AND_FITNESS,true,false,,2026-08-12T03:50:28.643Z,2026-08-12_1786506617
2026-08-12,com.gen.workoutme,BetterMe: Health Coaching,45526664,"10,000,000+",4.472651,656560,11.28.0,,,false,true,ai-coach,2026-08-12T03:52:13.829Z,2026-08-12_1786506617
2026-08-12,com.healthifyme.basic,Healthify: AI Diet & Fitness,42582857,"10,000,000+",4.43233,568607,v31.0,82,HEALTH_AND_FITNESS,true,true,ai-coach,2026-08-12T03:51:50.369Z,2026-08-12_1786506617
2026-08-12,com.heallo.skinexpert,Cure: Skin & Hair Experts,33328052,"10,000,000+",4.535323,102674,3.50.1,,,false,true,d2c-condition,2026-08-12T03:52:17.155Z,2026-08-12_1786506617
2026-08-12,com.fitifyworkouts.bodyweight.workoutapp,"Fitify: Fitness, Home Workout",31784515,"10,000,000+",4.7661185,552418,1.130.0,50,HEALTH_AND_FITNESS,true,false,,2026-08-12T03:51:14.650Z,2026-08-12_1786506617
2026-08-12,running.tracker.gps.map,Running App - GPS Run Tracker,31310630,"10,000,000+",4.788346,434669,1.9.6,83,HEALTH_AND_FITNESS,true,false,,2026-08-12T03:51:51.497Z,2026-08-12_1786506617
2026-08-12,fr.cnamts.it.activity,Compte ameli,28713276,"10,000,000+",4.13,503293,24.1.0,45,HEALTH_AND_FITNESS,true,false,,2026-08-12T03:51:09.058Z,2026-08-12_1786506617
2026-08-12,jawline.exercises.slim.face.yoga,Jawline Exercises - Face Yoga,27337648,"10,000,000+",4.8088202,311485,1.2.9,69,HEALTH_AND_FITNESS,true,false,,2026-08-12T03:51:35.817Z,2026-08-12_1786506617
2026-08-12,bloodsugar.bloodsugarapp.diabetes.diabetesapp,Blood Sugar - Diabetes App,23794317,"10,000,000+",4.3920593,58489,1.3.7,30,HEALTH_AND_FITNESS,true,false,,2026-08-12T03:50:52.170Z,2026-08-12_1786506617
2026-08-12,pilatesworkout.yogaworkout.loseweight.workoutapps,Pilates Workout at Home,23441243,"10,000,000+",4.8518147,294843,1.6.1,37,HEALTH_AND_FITNESS,true,false,,2026-08-12T03:51:00.012Z,2026-08-12_1786506617
2026-08-12,daily.planner.routine.habits,Me+ Lifestyle Routine,23336614,"10,000,000+",4.4258857,857484,2.0.8,,,false,true,ai-tracker,2026-08-12T03:52:25.947Z,2026-08-12_1786506617
2026-08-12,com.wsl.noom,Noom: Weight Loss & GLP-1 Care,22817927,"10,000,000+",2.63,314303,14.28.0,,,false,true,ai-coach,2026-08-12T03:52:16.039Z,2026-08-12_1786506617
2026-08-12,icici.lombard.ghi,IL TakeCare Insurance App,18768185,"10,000,000+",4.6084633,66582,4.1.25-prod,18,HEALTH_AND_FITNESS,true,false,,2026-08-12T03:50:38.746Z,2026-08-12_1786506617
