snapshot_date,package,app_name,max_installs,installs_bucket,score,ratings,version,chart_rank,chart,in_chart,in_watchlist,cluster,scraped_at,run_id
2026-08-14,com.sec.android.app.shealth,Samsung Health,2266938488,"1,000,000,000+",4.0612917,1575187,VARY,39,HEALTH_AND_FITNESS,true,false,,2026-08-14T03:51:46.434Z,2026-08-14_1786679456
2026-08-14,com.google.android.apps.healthdata,Health Connect,923101208,"500,000,000+",3.7843044,87891,2026.07.09.00.release,18,HEALTH_AND_FITNESS,true,false,,2026-08-14T03:51:20.939Z,2026-08-14_1786679456
2026-08-14,com.google.android.apps.fitness,Google Fit: Activity Tracking,362400033,"100,000,000+",4.069331,683706,VARY,4,HEALTH_AND_FITNESS,true,false,,2026-08-14T03:51:03.658Z,2026-08-14_1786679456
2026-08-14,homeworkout.homeworkouts.noequipment,Home Workout - No Equipment,299373048,"100,000,000+",4.8552914,3994570,1.7.6,17,HEALTH_AND_FITNESS,true,false,,2026-08-14T03:51:19.808Z,2026-08-14_1786679456
2026-08-14,com.fitbit.FitbitMobile,Google Health (Fitbit),283214017,"100,000,000+",4.169245,1302697,VARY,50,HEALTH_AND_FITNESS,true,false,,2026-08-14T03:52:02.969Z,2026-08-14_1786679456
2026-08-14,com.popularapp.periodcalendar,Period Calendar Period Tracker,223759290,"100,000,000+",4.8561635,4881514,VARY,78,HEALTH_AND_FITNESS,true,false,,2026-08-14T03:52:39.330Z,2026-08-14_1786679456
2026-08-14,sixpack.sixpackabs.absworkout,Six Pack in 30 Days,211156500,"100,000,000+",4.855037,2833626,1.4.6,80,HEALTH_AND_FITNESS,true,false,,2026-08-14T03:52:42.709Z,2026-08-14_1786679456
2026-08-14,org.iggymedia.periodtracker,Flo Period & Pregnancy Tracker,203028086,"100,000,000+",4.7566257,5038406,10.3.0,34,HEALTH_AND_FITNESS,true,false,,2026-08-14T03:51:40.440Z,2026-08-14_1786679456
2026-08-14,nic.goi.aarogyasetu,AarogyaSetu 2.0,189122711,"100,000,000+",3.957782,1657478,3.1.5-Ghent Kangri karakoram,8,HEALTH_AND_FITNESS,true,false,,2026-08-14T03:51:09.329Z,2026-08-14_1786679456
2026-08-14,in.sweatco.app,Sweatcoin・Walking Step Counter,158936510,"100,000,000+",4.42186,3022024,253.0.0,7,HEALTH_AND_FITNESS,true,false,,2026-08-14T03:51:08.188Z,2026-08-14_1786679456
2026-08-14,com.myfitnesspal.android,MyFitnessPal: Calorie Counter,135791020,"100,000,000+",4.5321507,2909287,VARY,74,HEALTH_AND_FITNESS,true,false,,2026-08-14T03:52:33.276Z,2026-08-14_1786679456
2026-08-14,loseweightapp.loseweightappforwomen.womenworkoutathome,Lose Weight App for Women,132526308,"100,000,000+",4.827557,1221207,2.4.0,33,HEALTH_AND_FITNESS,true,true,utility,2026-08-14T03:51:39.265Z,2026-08-14_1786679456
