snapshot_date,package,app_name,max_installs,installs_bucket,score,ratings,version,chart_rank,chart,in_chart,in_watchlist,cluster,scraped_at,run_id
2026-08-16,com.sec.android.app.shealth,Samsung Health,2267507372,"1,000,000,000+",4.0607243,1575539,VARY,36,HEALTH_AND_FITNESS,true,false,,2026-08-16T02:47:04.832Z,2026-08-16_1786848379
2026-08-16,com.google.android.apps.healthdata,Health Connect,924909260,"500,000,000+",3.7985578,88015,2026.07.09.00.release,19,HEALTH_AND_FITNESS,true,false,,2026-08-16T02:46:43.641Z,2026-08-16_1786848379
2026-08-16,com.transsion.healthlife,My Health,385107639,"100,000,000+",3.9053452,51754,5.6.1.4,71,HEALTH_AND_FITNESS,true,false,,2026-08-16T02:47:47.642Z,2026-08-16_1786848379
2026-08-16,com.google.android.apps.fitness,Google Fit: Activity Tracking,362791392,"100,000,000+",4.069683,683807,VARY,5,HEALTH_AND_FITNESS,true,false,,2026-08-16T02:46:26.537Z,2026-08-16_1786848379
2026-08-16,homeworkout.homeworkouts.noequipment,Home Workout - No Equipment,299461003,"100,000,000+",4.855508,3995956,1.7.6,23,HEALTH_AND_FITNESS,true,false,,2026-08-16T02:46:48.227Z,2026-08-16_1786848379
2026-08-16,com.fitbit.FitbitMobile,Google Health (Fitbit),284514697,"100,000,000+",4.1691566,1302972,VARY,51,HEALTH_AND_FITNESS,true,false,,2026-08-16T02:47:23.194Z,2026-08-16_1786848379
2026-08-16,com.popularapp.periodcalendar,Period Calendar Period Tracker,223798128,"100,000,000+",4.8560715,4882092,VARY,97,HEALTH_AND_FITNESS,true,false,,2026-08-16T02:48:20.687Z,2026-08-16_1786848379
2026-08-16,sixpack.sixpackabs.absworkout,Six Pack in 30 Days,211204752,"100,000,000+",4.855055,2834715,1.4.6,52,HEALTH_AND_FITNESS,true,false,,2026-08-16T02:47:24.356Z,2026-08-16_1786848379
2026-08-16,org.iggymedia.periodtracker,Flo Period & Pregnancy Tracker,203170202,"100,000,000+",4.7565217,5041814,10.3.0,34,HEALTH_AND_FITNESS,true,false,,2026-08-16T02:47:02.579Z,2026-08-16_1786848379
2026-08-16,nic.goi.aarogyasetu,AarogyaSetu 2.0,189155016,"100,000,000+",3.9578013,1657478,3.1.5-Ghent Kangri karakoram,12,HEALTH_AND_FITNESS,true,false,,2026-08-16T02:46:35.458Z,2026-08-16_1786848379
2026-08-16,in.sweatco.app,Sweatcoin・Walking Step Counter,159047942,"100,000,000+",4.423543,3025761,253.0.0,7,HEALTH_AND_FITNESS,true,false,,2026-08-16T02:46:28.864Z,2026-08-16_1786848379
2026-08-16,com.myfitnesspal.android,MyFitnessPal: Calorie Counter,135831823,"100,000,000+",4.53394,2909710,VARY,92,HEALTH_AND_FITNESS,true,false,,2026-08-16T02:48:13.657Z,2026-08-16_1786848379
2026-08-16,loseweightapp.loseweightappforwomen.womenworkoutathome,Lose Weight App for Women,132604143,"100,000,000+",4.8270144,1221711,2.4.0,31,HEALTH_AND_FITNESS,true,true,utility,2026-08-16T02:46:58.920Z,2026-08-16_1786848379
2026-08-16,menloseweight.loseweightappformen.weightlossformen,Lose Weight App for Men,131059807,"100,000,000+",4.888355,2735330,2.4.36,49,HEALTH_AND_FITNESS,true,false,,2026-08-16T02:47:20.283Z,2026-08-16_1786848379
2026-08-16,com.strava,"Strava: Run, Bike, Walk",130830628,"100,000,000+",4.649753,1165646,VARY,8,HEALTH_AND_FITNESS,true,false,,2026-08-16T02:46:30.380Z,2026-08-16_1786848379
2026-08-16,pedometer.steptracker.calorieburner.stepcounter,Step Counter - Pedometer,117217899,"100,000,000+",4.8466597,1702535,1.6.8,81,HEALTH_AND_FITNESS,true,false,,2026-08-16T02:47:59.657Z,2026-08-16_1786848379
2026-08-16,increaseheightworkout.heightincreaseexercise.tallerexercise,Height Increase Workout,99017157,"50,000,000+",4.830367,767444,1.1.17,22,HEALTH_AND_FITNESS,true,false,,2026-08-16T02:46:47.096Z,2026-08-16_1786848379
2026-08-16,bloodpressure.bloodpressureapp.bloodpressuretracker,Blood Pressure Tracker,96369760,"50,000,000+",4.6942472,393769,1.9.7,79,HEALTH_AND_FITNESS,true,false,,2026-08-16T02:47:57.364Z,2026-08-16_1786848379
2026-08-16,com.tayu.tau.pedometer,Pedometer - Step Counter,88292201,"50,000,000+",4.7897835,1040231,5.61,47,HEALTH_AND_FITNESS,true,false,,2026-08-16T02:47:17.970Z,2026-08-16_1786848379
