snapshot_date,package,app_name,max_installs,installs_bucket,score,ratings,version,chart_rank,chart,in_chart,in_watchlist,cluster,scraped_at,run_id
2026-08-15,com.sec.android.app.shealth,Samsung Health,2267224210,"1,000,000,000+",4.060838,1575357,VARY,46,HEALTH_AND_FITNESS,true,false,,2026-08-15T02:38:50.260Z,2026-08-15_1786761474
2026-08-15,com.google.android.apps.healthdata,Health Connect,924032999,"500,000,000+",3.787806,87946,2026.07.09.00.release,21,HEALTH_AND_FITNESS,true,false,,2026-08-15T02:38:20.766Z,2026-08-15_1786761474
2026-08-15,com.google.android.apps.fitness,Google Fit: Activity Tracking,362533373,"100,000,000+",4.0687895,683759,VARY,4,HEALTH_AND_FITNESS,true,false,,2026-08-15T02:38:00.339Z,2026-08-15_1786761474
2026-08-15,homeworkout.homeworkouts.noequipment,Home Workout - No Equipment,299373048,"100,000,000+",4.855381,3995230,1.7.6,18,HEALTH_AND_FITNESS,true,false,,2026-08-15T02:38:17.240Z,2026-08-15_1786761474
2026-08-15,com.fitbit.FitbitMobile,Google Health (Fitbit),283875093,"100,000,000+",4.1671286,1302832,VARY,53,HEALTH_AND_FITNESS,true,false,,2026-08-15T02:38:58.466Z,2026-08-15_1786761474
2026-08-15,com.popularapp.periodcalendar,Period Calendar Period Tracker,223763690,"100,000,000+",4.8566227,4881810,VARY,78,HEALTH_AND_FITNESS,true,false,,2026-08-15T02:39:28.646Z,2026-08-15_1786761474
2026-08-15,sixpack.sixpackabs.absworkout,Six Pack in 30 Days,211180539,"100,000,000+",4.8553042,2834186,1.4.6,55,HEALTH_AND_FITNESS,true,false,,2026-08-15T02:39:01.367Z,2026-08-15_1786761474
2026-08-15,org.iggymedia.periodtracker,Flo Period & Pregnancy Tracker,203096535,"100,000,000+",4.7565703,5040132,10.3.0,39,HEALTH_AND_FITNESS,true,false,,2026-08-15T02:38:42.083Z,2026-08-15_1786761474
2026-08-15,nic.goi.aarogyasetu,AarogyaSetu 2.0,189122711,"100,000,000+",3.9577854,1657471,3.1.5-Ghent Kangri karakoram,8,HEALTH_AND_FITNESS,true,false,,2026-08-15T02:38:05.206Z,2026-08-15_1786761474
2026-08-15,in.sweatco.app,Sweatcoin・Walking Step Counter,158987654,"100,000,000+",4.4240355,3023856,253.0.0,5,HEALTH_AND_FITNESS,true,false,,2026-08-15T02:38:01.589Z,2026-08-15_1786761474
2026-08-15,com.myfitnesspal.android,MyFitnessPal: Calorie Counter,135831823,"100,000,000+",4.532551,2909406,VARY,75,HEALTH_AND_FITNESS,true,false,,2026-08-15T02:39:24.904Z,2026-08-15_1786761474
2026-08-15,loseweightapp.loseweightappforwomen.womenworkoutathome,Lose Weight App for Women,132564563,"100,000,000+",4.8269424,1221459,2.4.0,30,HEALTH_AND_FITNESS,true,true,utility,2026-08-15T02:38:31.285Z,2026-08-15_1786761474
2026-08-15,menloseweight.loseweightappformen.weightlossformen,Lose Weight App for Men,130999636,"100,000,000+",4.888385,2734830,2.4.36,31,HEALTH_AND_FITNESS,true,false,,2026-08-15T02:38:32.518Z,2026-08-15_1786761474
2026-08-15,com.strava,"Strava: Run, Bike, Walk",130653833,"100,000,000+",4.650551,1165026,VARY,12,HEALTH_AND_FITNESS,true,false,,2026-08-15T02:38:09.990Z,2026-08-15_1786761474
2026-08-15,pedometer.steptracker.calorieburner.stepcounter,Step Counter - Pedometer,117157302,"100,000,000+",4.8467026,1702234,1.6.8,74,HEALTH_AND_FITNESS,true,false,,2026-08-15T02:39:23.756Z,2026-08-15_1786761474
2026-08-15,increaseheightworkout.heightincreaseexercise.tallerexercise,Height Increase Workout,98982152,"50,000,000+",4.8302875,767121,1.1.17,28,HEALTH_AND_FITNESS,true,false,,2026-08-15T02:38:28.941Z,2026-08-15_1786761474
2026-08-15,bloodpressure.bloodpressureapp.bloodpressuretracker,Blood Pressure Tracker,96369760,"50,000,000+",4.697536,393588,1.9.7,70,HEALTH_AND_FITNESS,true,false,,2026-08-15T02:39:19.042Z,2026-08-15_1786761474
2026-08-15,com.tayu.tau.pedometer,Pedometer - Step Counter,88271551,"50,000,000+",4.789459,1040097,5.61,42,HEALTH_AND_FITNESS,true,false,,2026-08-15T02:38:45.527Z,2026-08-15_1786761474
2026-08-15,com.xiaomi.wearable,Mi Fitness (Xiaomi Wear),79840220,"50,000,000+",4.4428287,1596949,3.57.0i,65,HEALTH_AND_FITNESS,true,false,,2026-08-15T02:39:13.178Z,2026-08-15_1786761474
2026-08-15,armworkout.armworkoutformen.armexercises,Arm Workout - Biceps Exercise,72775909,"50,000,000+",4.8456826,506576,2.4.2,95,HEALTH_AND_FITNESS,true,false,,2026-08-15T02:39:48.805Z,2026-08-15_1786761474
2026-08-15,stepcounter.pedometer.stepstracker,Step Counter - Pedometer,70617882,"50,000,000+",4.8310122,789370,1.5.7,7,HEALTH_AND_FITNESS,true,false,,2026-08-15T02:38:03.932Z,2026-08-15_1786761474
2026-08-15,pedometer.stepcounter.calorieburner.pedometerforwalking,Pedometer - Step Counter,64329130,"50,000,000+",4.8212476,947420,2.5.2,49,HEALTH_AND_FITNESS,true,false,,2026-08-15T02:38:53.758Z,2026-08-15_1786761474
2026-08-15,com.yazio.android,Yazio: AI Calorie Tracker,57228773,"50,000,000+",4.4422603,846935,26.32.0,,,false,true,ai-tracker,2026-08-15T02:40:14.642Z,2026-08-15_1786761474
2026-08-15,bodyfast.zero.fastingtracker.weightloss,Fasting - Intermittent Fasting,56557776,"50,000,000+",4.833888,975240,2.5.4,,,false,true,ai-tracker,2026-08-15T02:40:12.160Z,2026-08-15_1786761474
2026-08-15,com.noisefit,NoiseFit: Health & Fitness,55620576,"50,000,000+",4.403113,2476155,5.3.1,1,HEALTH_AND_FITNESS,true,false,,2026-08-15T02:37:56.843Z,2026-08-15_1786761474
2026-08-15,weightloss.weightlossforwomen.workoutforwomen.womenworkout,Weight Loss for Women: Workout,47927762,"10,000,000+",4.7581234,456776,1.9.9,14,HEALTH_AND_FITNESS,true,false,,2026-08-15T02:38:12.476Z,2026-08-15_1786761474
2026-08-15,com.gen.workoutme,BetterMe: Health Coaching,45531192,"10,000,000+",4.4701753,656779,11.29.0,,,false,true,ai-coach,2026-08-15T02:39:58.064Z,2026-08-15_1786761474
2026-08-15,com.healthifyme.basic,Healthify: AI Diet & Fitness,42590799,"10,000,000+",4.432319,568598,v31.0,100,HEALTH_AND_FITNESS,true,true,ai-coach,2026-08-15T02:39:54.619Z,2026-08-15_1786761474
2026-08-15,com.heallo.skinexpert,Cure: Skin & Hair Experts,33356424,"10,000,000+",4.5253825,102550,3.50.1,,,false,true,d2c-condition,2026-08-15T02:40:01.546Z,2026-08-15_1786761474
2026-08-15,com.fitifyworkouts.bodyweight.workoutapp,"Fitify: Fitness, Home Workout",31799994,"10,000,000+",4.7678585,552852,1.130.0,73,HEALTH_AND_FITNESS,true,false,,2026-08-15T02:39:22.594Z,2026-08-15_1786761474
2026-08-15,running.tracker.gps.map,Running App - GPS Run Tracker,31320089,"10,000,000+",4.7860575,434863,1.9.6,84,HEALTH_AND_FITNESS,true,false,,2026-08-15T02:39:35.952Z,2026-08-15_1786761474
2026-08-15,fr.cnamts.it.activity,Compte ameli,28730988,"10,000,000+",4.05,503418,24.1.0,54,HEALTH_AND_FITNESS,true,false,,2026-08-15T02:39:00.044Z,2026-08-15_1786761474
2026-08-15,bloodsugar.bloodsugarapp.diabetes.diabetesapp,Blood Sugar - Diabetes App,23842805,"10,000,000+",4.3869348,58678,1.3.8,32,HEALTH_AND_FITNESS,true,false,,2026-08-15T02:38:33.724Z,2026-08-15_1786761474
2026-08-15,pilatesworkout.yogaworkout.loseweight.workoutapps,Pilates Workout at Home,23511078,"10,000,000+",4.856,295660,1.6.1,36,HEALTH_AND_FITNESS,true,false,,2026-08-15T02:38:38.476Z,2026-08-15_1786761474
