snapshot_date,rank,rank_change,package,app_name,rating,lifetime_installs_rounded,recent_30d_installs_rounded,scraped_at,run_id
2026-08-15,1,0,care.disha,Disha: AI Health Coach,3.4,5700000,910000,2026-08-15T02:37:56.658Z,2026-08-15_1786761474
2026-08-15,2,0,com.traya.prod,Traya: Hair Loss Solutions,4.5,15000000,730000,2026-08-15T02:37:56.659Z,2026-08-15_1786761474
2026-08-15,3,0,com.noisefit,NoiseFit: Health & Fitness,4.5,56000000,720000,2026-08-15T02:37:56.660Z,2026-08-15_1786761474
2026-08-15,4,0,com.google.android.apps.fitness,Google Fit: Activity Tracking,3.4,360000000,3900000,2026-08-15T02:37:56.661Z,2026-08-15_1786761474
2026-08-15,5,2,in.sweatco.app,Sweatcoin・Walking Step Counter,4.4,160000000,1900000,2026-08-15T02:37:56.662Z,2026-08-15_1786761474
2026-08-15,6,-1,com.bp.blood.sugar.bloodtracker.app,Blood Sugar Care - BP Monitor,3,1800000,830000,2026-08-15T02:37:56.662Z,2026-08-15_1786761474
2026-08-15,7,2,stepcounter.pedometer.stepstracker,Step Counter - Pedometer,4.8,71000000,1500000,2026-08-15T02:37:56.663Z,2026-08-15_1786761474
2026-08-15,8,0,nic.goi.aarogyasetu,AarogyaSetu 2.0,3.3,190000000,110000,2026-08-15T02:37:56.663Z,2026-08-15_1786761474
2026-08-15,9,-3,com.coveiot.android.boat,boAt Crest,4.1,18000000,410000,2026-08-15T02:37:56.664Z,2026-08-15_1786761474
2026-08-15,10,18,com.seekhoai.android,Seekho Health: Weight Loss App,,1000000,310000,2026-08-15T02:37:56.664Z,2026-08-15_1786761474
2026-08-15,11,0,com.blood.sugar.tracker.trend.monitor,Daily BP & Sugar Tracker,1.8,670000,470000,2026-08-15T02:37:56.664Z,2026-08-15_1786761474
2026-08-15,12,-2,com.strava,"Strava: Run, Bike, Walk",4.6,130000000,2900000,2026-08-15T02:37:56.665Z,2026-08-15_1786761474
2026-08-15,13,-1,com.titan.fastrack.reflex,Fastrack Smart World,3.8,15000000,330000,2026-08-15T02:37:56.665Z,2026-08-15_1786761474
2026-08-15,14,-1,weightloss.weightlossforwomen.workoutforwomen.womenworkout,Weight Loss for Women: Workout,4.8,48000000,1300000,2026-08-15T02:37:56.665Z,2026-08-15_1786761474
2026-08-15,15,-1,health.app.blood.sugar.app,Blood Sugar Care App,3.3,1700000,100000,2026-08-15T02:37:56.665Z,2026-08-15_1786761474
2026-08-15,16,-1,icici.lombard.ghi,IL TakeCare Insurance App,3.6,19000000,280000,2026-08-15T02:37:56.665Z,2026-08-15_1786761474
2026-08-15,17,0,homeworkout.homeworkouts.noequipment,Home Workout - No Equipment,4.9,300000000,1700000,2026-08-15T02:37:56.666Z,2026-08-15_1786761474
2026-08-15,18,-2,com.mosaicwellness.ourlittlejoys,Little Joys: Kids' Health App,,1900000,160000,2026-08-15T02:37:56.666Z,2026-08-15_1786761474
2026-08-15,19,26,com.religare.healthinsurance,Care Health - Customer App,3.8,9400000,180000,2026-08-15T02:37:56.666Z,2026-08-15_1786761474
2026-08-15,20,-1,com.health.care.sleep.sound.pulse.heartbeat,Health Care - Sound,4.5,1700000,360000,2026-08-15T02:37:56.666Z,2026-08-15_1786761474
2026-08-15,21,0,com.maxbupa.healthapp,Niva Bupa Health,4.6,14000000,200000,2026-08-15T02:37:56.667Z,2026-08-15_1786761474
2026-08-15,22,-2,com.boAt.wristgear,boAt Wearables,3.2,16000000,210000,2026-08-15T02:37:56.667Z,2026-08-15_1786761474
2026-08-15,23,-5,com.google.android.apps.healthdata,Health Connect,2.8,920000000,13000000,2026-08-15T02:37:56.674Z,2026-08-15_1786761474
2026-08-15,24,17,com.cardiolens.pulse.camera,CardioLens - Heart Rate,4.4,970000,300000,2026-08-15T02:37:56.674Z,2026-08-15_1786761474
2026-08-15,25,-3,com.wegrow.we_grow,SuperLiving: Weight Loss Coach,,1900000,270000,2026-08-15T02:37:56.675Z,2026-08-15_1786761474
2026-08-15,26,-3,stepcounter.steptracker.pedometer.calorie,Pedometer App - Step Counter,4.7,9000000,730000,2026-08-15T02:37:56.675Z,2026-08-15_1786761474
2026-08-15,27,-2,increaseheightworkout.heightincreaseexercise.tallerexercise,Height Increase Workout,4.9,99000000,780000,2026-08-15T02:37:56.675Z,2026-08-15_1786761474
2026-08-15,28,3,com.asianmobile.gymworkout,Gym Workout Tracker & Fitness,3.9,8900000,230000,2026-08-15T02:37:56.675Z,2026-08-15_1786761474
