snapshot_date,package,app_name,max_installs,installs_bucket,score,ratings,version,chart_rank,chart,in_chart,in_watchlist,cluster,scraped_at,run_id
2026-08-24,com.sec.android.app.shealth,Samsung Health,2270086381,"1,000,000,000+",4.053593,1576917,VARY,38,HEALTH_AND_FITNESS,true,false,,2026-08-24T02:50:09.638Z,2026-08-24_1787539763
2026-08-24,com.google.android.apps.healthdata,Health Connect,928907630,"500,000,000+",3.814497,88594,2026.07.09.00.release,22,HEALTH_AND_FITNESS,true,false,,2026-08-24T02:49:49.829Z,2026-08-24_1787539763
2026-08-24,com.transsion.healthlife,My Health,387131161,"100,000,000+",3.883978,52103,5.6.1.4,88,HEALTH_AND_FITNESS,true,false,,2026-08-24T02:51:13.684Z,2026-08-24_1787539763
2026-08-24,com.google.android.apps.fitness,Google Fit: Activity Tracking,363835255,"100,000,000+",4.0694265,684234,VARY,8,HEALTH_AND_FITNESS,true,false,,2026-08-24T02:49:33.702Z,2026-08-24_1787539763
2026-08-24,homeworkout.homeworkouts.noequipment,Home Workout - No Equipment,300026979,"100,000,000+",4.85617,4003198,1.7.7,6,HEALTH_AND_FITNESS,true,false,,2026-08-24T02:49:30.857Z,2026-08-24_1787539763
2026-08-24,com.fitbit.FitbitMobile,Google Health (Fitbit),287209705,"100,000,000+",4.1617208,1304026,VARY,53,HEALTH_AND_FITNESS,true,false,,2026-08-24T02:50:28.232Z,2026-08-24_1787539763
2026-08-24,com.popularapp.periodcalendar,Period Calendar Period Tracker,224109287,"100,000,000+",4.8575444,4883723,VARY,81,HEALTH_AND_FITNESS,true,false,,2026-08-24T02:51:02.670Z,2026-08-24_1787539763
2026-08-24,sixpack.sixpackabs.absworkout,Six Pack in 30 Days,211432371,"100,000,000+",4.854942,2838452,1.4.8,42,HEALTH_AND_FITNESS,true,false,,2026-08-24T02:50:14.814Z,2026-08-24_1787539763
2026-08-24,org.iggymedia.periodtracker,Flo Period & Pregnancy Tracker,203788290,"100,000,000+",4.755659,5055142,10.3.0,40,HEALTH_AND_FITNESS,true,false,,2026-08-24T02:50:11.915Z,2026-08-24_1787539763
2026-08-24,nic.goi.aarogyasetu,AarogyaSetu 2.0,189310468,"100,000,000+",3.9586964,1657500,3.1.5-Ghent Kangri karakoram,7,HEALTH_AND_FITNESS,true,false,,2026-08-24T02:49:32.000Z,2026-08-24_1787539763
2026-08-24,in.sweatco.app,Sweatcoin・Walking Step Counter,159615539,"100,000,000+",4.4264927,3045952,253.0.0,1,HEALTH_AND_FITNESS,true,false,,2026-08-24T02:49:25.170Z,2026-08-24_1787539763
2026-08-24,com.myfitnesspal.android,MyFitnessPal: Calorie Counter,136005281,"100,000,000+",4.5293074,2911061,VARY,86,HEALTH_AND_FITNESS,true,false,,2026-08-24T02:51:11.429Z,2026-08-24_1787539763
2026-08-24,loseweightapp.loseweightappforwomen.womenworkoutathome,Lose Weight App for Women,132902289,"100,000,000+",4.8267865,1223419,2.4.0,60,HEALTH_AND_FITNESS,true,true,utility,2026-08-24T02:50:37.276Z,2026-08-24_1787539763
2026-08-24,com.strava,"Strava: Run, Bike, Walk",131448599,"100,000,000+",4.651266,1170634,VARY,12,HEALTH_AND_FITNESS,true,false,,2026-08-24T02:49:38.255Z,2026-08-24_1787539763
2026-08-24,menloseweight.loseweightappformen.weightlossformen,Lose Weight App for Men,131243388,"100,000,000+",4.8884454,2738596,2.4.36,66,HEALTH_AND_FITNESS,true,false,,2026-08-24T02:50:44.275Z,2026-08-24_1787539763
2026-08-24,pedometer.steptracker.calorieburner.stepcounter,Step Counter - Pedometer,117441390,"100,000,000+",4.846772,1704516,1.6.8,85,HEALTH_AND_FITNESS,true,false,,2026-08-24T02:51:08.994Z,2026-08-24_1787539763
2026-08-24,losebellyfat.flatstomach.absworkout.fatburning,Lose Belly Fat  - Abs Workout,107606131,"100,000,000+",4.762979,517628,1.6.1,52,HEALTH_AND_FITNESS,true,false,,2026-08-24T02:50:27.092Z,2026-08-24_1787539763
2026-08-24,increaseheightworkout.heightincreaseexercise.tallerexercise,Height Increase Workout,99208771,"50,000,000+",4.8314886,769232,1.1.17,50,HEALTH_AND_FITNESS,true,false,,2026-08-24T02:50:24.786Z,2026-08-24_1787539763
2026-08-24,com.runtastic.android,adidas Running: Run tracker,97082715,"50,000,000+",4.5658793,1725925,VARY,92,HEALTH_AND_FITNESS,true,false,,2026-08-24T02:51:19.066Z,2026-08-24_1787539763
2026-08-24,bloodpressure.bloodpressureapp.bloodpressuretracker,Blood Pressure Tracker,96462372,"50,000,000+",4.684834,394768,1.9.7,93,HEALTH_AND_FITNESS,true,false,,2026-08-24T02:51:20.231Z,2026-08-24_1787539763
2026-08-24,com.tayu.tau.pedometer,Pedometer - Step Counter,88473449,"50,000,000+",4.791695,1041158,5.61,41,HEALTH_AND_FITNESS,true,false,,2026-08-24T02:50:13.062Z,2026-08-24_1787539763
2026-08-24,com.xiaomi.wearable,Mi Fitness (Xiaomi Wear),80336888,"50,000,000+",4.4414935,1603547,3.57.0i,55,HEALTH_AND_FITNESS,true,false,,2026-08-24T02:50:31.297Z,2026-08-24_1787539763
2026-08-24,armworkout.armworkoutformen.armexercises,Arm Workout - Biceps Exercise,72867711,"50,000,000+",4.8451157,507353,2.4.2,95,HEALTH_AND_FITNESS,true,false,,2026-08-24T02:51:22.516Z,2026-08-24_1787539763
2026-08-24,stepcounter.pedometer.stepstracker,Step Counter - Pedometer,71078337,"50,000,000+",4.827089,794591,1.5.7,11,HEALTH_AND_FITNESS,true,false,,2026-08-24T02:49:37.122Z,2026-08-24_1787539763
2026-08-24,com.clue.android,Clue: Period & Cycle Tracker,69619969,"50,000,000+",4.437668,1489546,266.0,29,HEALTH_AND_FITNESS,true,false,,2026-08-24T02:49:59.303Z,2026-08-24_1787539763
2026-08-24,pedometer.stepcounter.calorieburner.pedometerforwalking,Pedometer - Step Counter,64418714,"50,000,000+",4.8196993,948607,2.5.3,39,HEALTH_AND_FITNESS,true,false,,2026-08-24T02:50:10.775Z,2026-08-24_1787539763
2026-08-24,com.yazio.android,Yazio: AI Calorie Tracker,57367472,"50,000,000+",4.4473686,851033,26.33.0,,,false,true,ai-tracker,2026-08-24T02:51:48.437Z,2026-08-24_1787539763
2026-08-24,bodyfast.zero.fastingtracker.weightloss,Fasting - Intermittent Fasting,56663737,"50,000,000+",4.8325944,975970,2.5.4,,,false,true,ai-tracker,2026-08-24T02:51:46.117Z,2026-08-24_1787539763
2026-08-24,com.noisefit,NoiseFit: Health & Fitness,55855630,"50,000,000+",4.4030886,2485046,5.3.3,4,HEALTH_AND_FITNESS,true,false,,2026-08-24T02:49:28.514Z,2026-08-24_1787539763
2026-08-24,weightloss.weightlossforwomen.workoutforwomen.womenworkout,Weight Loss for Women: Workout,48396380,"10,000,000+",4.7591915,459354,1.9.9,23,HEALTH_AND_FITNESS,true,false,,2026-08-24T02:49:50.973Z,2026-08-24_1787539763
2026-08-24,com.gen.workoutme,BetterMe: Health Coaching,45577046,"10,000,000+",4.4722805,657346,11.30.0,,,false,true,ai-coach,2026-08-24T02:51:32.753Z,2026-08-24_1787539763
2026-08-24,com.healthifyme.basic,Healthify: AI Diet & Fitness,42613560,"10,000,000+",4.4319553,568575,v31.1,84,HEALTH_AND_FITNESS,true,true,ai-coach,2026-08-24T02:51:07.849Z,2026-08-24_1787539763
2026-08-24,com.heallo.skinexpert,Cure: Skin & Hair Experts,33503981,"10,000,000+",4.5402164,103220,3.51.1,,,false,true,d2c-condition,2026-08-24T02:51:37.635Z,2026-08-24_1787539763
2026-08-24,com.fitifyworkouts.bodyweight.workoutapp,"Fitify: Fitness, Home Workout",31863282,"10,000,000+",4.7699137,554650,1.131.1,67,HEALTH_AND_FITNESS,true,false,,2026-08-24T02:50:45.417Z,2026-08-24_1787539763
2026-08-24,running.tracker.gps.map,Running App - GPS Run Tracker,31397104,"10,000,000+",4.789011,435411,1.9.6,83,HEALTH_AND_FITNESS,true,false,,2026-08-24T02:51:06.721Z,2026-08-24_1787539763
2026-08-24,heartratemonitor.heartrate.pulse.pulseapp,Heart Rate Monitor - Pulse App,28889407,"10,000,000+",4.6957026,374302,1.7.2,87,HEALTH_AND_FITNESS,true,false,,2026-08-24T02:51:12.563Z,2026-08-24_1787539763
2026-08-24,bp.bloodapp.surga.bloodtracker.app,Blood Sugar Care: BP Monitor,24611221,"10,000,000+",3.8333333,49,2.7,30,HEALTH_AND_FITNESS,true,false,,2026-08-24T02:50:00.410Z,2026-08-24_1787539763
2026-08-24,bloodsugar.bloodsugarapp.diabetes.diabetesapp,Blood Sugar - Diabetes App,24048075,"10,000,000+",4.425428,59874,1.3.8,27,HEALTH_AND_FITNESS,true,false,,2026-08-24T02:49:56.460Z,2026-08-24_1787539763
2026-08-24,daily.planner.routine.habits,Me+ Lifestyle Routine,23477535,"10,000,000+",4.416844,859401,2.0.8,,,false,true,ai-tracker,2026-08-24T02:51:47.291Z,2026-08-24_1787539763
2026-08-24,com.wsl.noom,Noom: Weight Loss & GLP-1 Care,22817927,"10,000,000+",2.63,314307,14.30.0,,,false,true,ai-coach,2026-08-24T02:51:35.038Z,2026-08-24_1787539763
2026-08-24,com.fitnessapps.yogakidsworkouts,Yoga for Kids & Family fitness,19309212,"10,000,000+",4.464145,76964,7.7,91,HEALTH_AND_FITNESS,true,false,,2026-08-24T02:51:17.873Z,2026-08-24_1787539763
2026-08-24,icici.lombard.ghi,IL TakeCare Insurance App,18865993,"10,000,000+",4.58864,67698,4.1.25-prod,16,HEALTH_AND_FITNESS,true,false,,2026-08-24T02:49:42.957Z,2026-08-24_1787539763
2026-08-24,com.coveiot.android.boat,boAt Crest,18482946,"10,000,000+",4.5019255,173091,5.5.2,10,HEALTH_AND_FITNESS,true,false,,2026-08-24T02:49:35.979Z,2026-08-24_1787539763
2026-08-24,de.fastic.app,Fastic Weight Loss & Fasting,17972771,"10,000,000+",4.344164,421045,1.268.1,,,false,true,ai-tracker,2026-08-24T02:51:50.706Z,2026-08-24_1787539763
2026-08-24,com.stepsappgmbh.stepsapp,StepsApp – Step Counter,16687450,"10,000,000+",4.6853876,155511,6.9.2,69,HEALTH_AND_FITNESS,true,false,,2026-08-24T02:50:47.809Z,2026-08-24_1787539763
2026-08-24,fit.cure.android,cult.fit Gym Workout & Fitness,16635867,"10,000,000+",4.6396337,142262,VARY,48,HEALTH_AND_FITNESS,true,true,fitness,2026-08-24T02:50:22.529Z,2026-08-24_1787539763
2026-08-24,com.boAt.wristgear,boAt Wearables,15942658,"10,000,000+",4.003421,53487,3.5.4,24,HEALTH_AND_FITNESS,true,false,,2026-08-24T02:49:52.973Z,2026-08-24_1787539763
2026-08-24,com.traya.prod,Traya: Hair Loss Solutions,15519504,"10,000,000+",4.349278,172618,1.9.2,2,HEALTH_AND_FITNESS,true,true,d2c-condition,2026-08-24T02:49:26.281Z,2026-08-24_1787539763
2026-08-24,com.walkfit.weightloss.steptracker.pedometer,WalkFit: Steps & Walking App,15280405,"10,000,000+",4.0083566,108835,VARY,,,false,true,utility,2026-08-24T02:51:41.061Z,2026-08-24_1787539763
2026-08-24,com.titan.fastrack.reflex,Fastrack Smart World,14828804,"10,000,000+",4.2211404,248041,6.33.0.2251274,15,HEALTH_AND_FITNESS,true,false,,2026-08-24T02:49:41.799Z,2026-08-24_1787539763
