snapshot_date,package,app_name,max_installs,installs_bucket,score,ratings,version,chart_rank,chart,in_chart,in_watchlist,cluster,scraped_at,run_id
2026-09-23,com.sec.android.app.shealth,Samsung Health,2276883374,"1,000,000,000+",4.031735,1580025,VARY,47,HEALTH_AND_FITNESS,true,false,,2026-09-23T06:40:10.772Z,2026-09-23_1790145554
2026-09-23,com.google.android.apps.healthdata,Health Connect,941410666,"500,000,000+",3.8272643,90725,2026.08.06.00.release,22,HEALTH_AND_FITNESS,true,false,,2026-09-23T06:39:41.655Z,2026-09-23_1790145554
2026-09-23,com.google.android.apps.fitness,Google Fit: Activity Tracking,366814354,"100,000,000+",4.0617223,685499,VARY,5,HEALTH_AND_FITNESS,true,false,,2026-09-23T06:39:21.109Z,2026-09-23_1790145554
2026-09-23,homeworkout.homeworkouts.noequipment,Home Workout - No Equipment,301227061,"100,000,000+",4.8565598,4023942,1.7.8,11,HEALTH_AND_FITNESS,true,false,,2026-09-23T06:39:28.390Z,2026-09-23_1790145554
2026-09-23,com.fitbit.FitbitMobile,Google Health (Fitbit),294792604,"100,000,000+",4.1516957,1312488,VARY,42,HEALTH_AND_FITNESS,true,false,,2026-09-23T06:40:04.939Z,2026-09-23_1790145554
2026-09-23,com.popularapp.periodcalendar,Period Calendar Period Tracker,224905983,"100,000,000+",4.857545,4890402,VARY,79,HEALTH_AND_FITNESS,true,false,,2026-09-23T06:40:47.990Z,2026-09-23_1790145554
2026-09-23,sixpack.sixpackabs.absworkout,Six Pack in 30 Days,211881280,"100,000,000+",4.855722,2848537,1.5.0,34,HEALTH_AND_FITNESS,true,false,,2026-09-23T06:39:55.691Z,2026-09-23_1790145554
2026-09-23,org.iggymedia.periodtracker,Flo Period & Pregnancy Tracker,205281092,"100,000,000+",4.7502923,5105043,VARY,17,HEALTH_AND_FITNESS,true,false,,2026-09-23T06:39:35.585Z,2026-09-23_1790145554
2026-09-23,nic.goi.aarogyasetu,AarogyaSetu 2.0,189691141,"100,000,000+",3.9651113,1657643,3.1.5-Ghent Kangri karakoram,8,HEALTH_AND_FITNESS,true,false,,2026-09-23T06:39:24.815Z,2026-09-23_1790145554
2026-09-23,in.sweatco.app,Sweatcoin・Walking Step Counter,160975526,"100,000,000+",4.399147,3119288,257.0.0,1,HEALTH_AND_FITNESS,true,false,,2026-09-23T06:39:16.236Z,2026-09-23_1790145554
2026-09-23,com.myfitnesspal.android,MyFitnessPal: Calorie Counter,136413995,"100,000,000+",4.5355315,2915613,VARY,54,HEALTH_AND_FITNESS,true,false,,2026-09-23T06:40:18.897Z,2026-09-23_1790145554
2026-09-23,com.strava,"Strava: Run, Bike, Walk",133548667,"100,000,000+",4.6547723,1187144,VARY,4,HEALTH_AND_FITNESS,true,false,,2026-09-23T06:39:19.687Z,2026-09-23_1790145554
2026-09-23,loseweightapp.loseweightappforwomen.womenworkoutathome,Lose Weight App for Women,133194618,"100,000,000+",4.8222933,1227042,2.4.4,88,HEALTH_AND_FITNESS,true,true,utility,2026-09-23T06:40:58.569Z,2026-09-23_1790145554
2026-09-23,menloseweight.loseweightappformen.weightlossformen,Lose Weight App for Men,131557138,"100,000,000+",4.887744,2750685,2.4.38,18,HEALTH_AND_FITNESS,true,false,,2026-09-23T06:39:36.748Z,2026-09-23_1790145554
2026-09-23,pedometer.steptracker.calorieburner.stepcounter,Step Counter - Pedometer,118019866,"100,000,000+",4.8460627,1711953,1.6.8,63,HEALTH_AND_FITNESS,true,false,,2026-09-23T06:40:29.407Z,2026-09-23_1790145554
