snapshot_date,package,app_name,max_installs,installs_bucket,score,ratings,version,chart_rank,chart,in_chart,in_watchlist,cluster,scraped_at,run_id
2026-08-07,com.sec.android.app.shealth,Samsung Health,2264227986,"1,000,000,000+",4.0712485,1573806,VARY,48,HEALTH_AND_FITNESS,true,false,,2026-08-07T05:14:42.399Z,2026-08-07_1786079622
2026-08-07,com.google.android.apps.healthdata,Health Connect,918752201,"500,000,000+",3.7759037,87346,2026.07.09.00.release,12,HEALTH_AND_FITNESS,true,false,,2026-08-07T05:13:57.794Z,2026-08-07_1786079622
2026-08-07,com.google.android.apps.fitness,Google Fit: Activity Tracking,361048347,"100,000,000+",4.064763,683429,VARY,4,HEALTH_AND_FITNESS,true,false,,2026-08-07T05:13:48.543Z,2026-08-07_1786079622
2026-08-07,homeworkout.homeworkouts.noequipment,Home Workout - No Equipment,298983622,"100,000,000+",4.854402,3988948,1.7.6,14,HEALTH_AND_FITNESS,true,false,,2026-08-07T05:14:00.126Z,2026-08-07_1786079622
2026-08-07,com.fitbit.FitbitMobile,Google Health (Fitbit),280206528,"100,000,000+",4.1702423,1301752,VARY,65,HEALTH_AND_FITNESS,true,false,,2026-08-07T05:15:03.508Z,2026-08-07_1786079622
2026-08-07,com.popularapp.periodcalendar,Period Calendar Period Tracker,223410325,"100,000,000+",4.857395,4880102,VARY,62,HEALTH_AND_FITNESS,true,false,,2026-08-07T05:15:00.065Z,2026-08-07_1786079622
2026-08-07,sixpack.sixpackabs.absworkout,Six Pack in 30 Days,210956870,"100,000,000+",4.8544545,2830092,1.4.6,32,HEALTH_AND_FITNESS,true,false,,2026-08-07T05:14:22.769Z,2026-08-07_1786079622
2026-08-07,org.iggymedia.periodtracker,Flo Period & Pregnancy Tracker,202440319,"100,000,000+",4.7584143,5026489,10.3.0,46,HEALTH_AND_FITNESS,true,false,,2026-08-07T05:14:40.035Z,2026-08-07_1786079622
2026-08-07,nic.goi.aarogyasetu,AarogyaSetu 2.0,189066963,"100,000,000+",3.957585,1657561,3.1.5-Ghent Kangri karakoram,86,HEALTH_AND_FITNESS,true,false,,2026-08-07T05:15:30.047Z,2026-08-07_1786079622
2026-08-07,in.sweatco.app,Sweatcoin・Walking Step Counter,158359693,"100,000,000+",4.4085693,2998058,252.0.0,3,HEALTH_AND_FITNESS,true,false,,2026-08-07T05:13:47.017Z,2026-08-07_1786079622
2026-08-07,com.myfitnesspal.android,MyFitnessPal: Calorie Counter,135604537,"100,000,000+",4.5315194,2908137,VARY,57,HEALTH_AND_FITNESS,true,false,,2026-08-07T05:14:54.155Z,2026-08-07_1786079622
2026-08-07,loseweightapp.loseweightappforwomen.womenworkoutathome,Lose Weight App for Women,132299848,"100,000,000+",4.827777,1219436,2.4.0,29,HEALTH_AND_FITNESS,true,true,utility,2026-08-07T05:14:19.379Z,2026-08-07_1786079622
2026-08-07,menloseweight.loseweightappformen.weightlossformen,Lose Weight App for Men,130663786,"100,000,000+",4.8875065,2728341,2.4.36,19,HEALTH_AND_FITNESS,true,false,,2026-08-07T05:14:07.034Z,2026-08-07_1786079622
2026-08-07,com.strava,"Strava: Run, Bike, Walk",129631866,"100,000,000+",4.65075,1160358,VARY,10,HEALTH_AND_FITNESS,true,false,,2026-08-07T05:13:55.513Z,2026-08-07_1786079622
2026-08-07,pedometer.steptracker.calorieburner.stepcounter,Step Counter - Pedometer,116934161,"100,000,000+",4.846045,1700000,1.6.8,64,HEALTH_AND_FITNESS,true,false,,2026-08-07T05:15:02.380Z,2026-08-07_1786079622
2026-08-07,increaseheightworkout.heightincreaseexercise.tallerexercise,Height Increase Workout,98801386,"50,000,000+",4.828697,764406,1.1.17,41,HEALTH_AND_FITNESS,true,false,,2026-08-07T05:14:33.732Z,2026-08-07_1786079622
2026-08-07,com.runtastic.android,adidas Running: Run tracker,96877876,"50,000,000+",4.574825,1721211,VARY,100,HEALTH_AND_FITNESS,true,false,,2026-08-07T05:15:46.878Z,2026-08-07_1786079622
2026-08-07,bloodpressure.bloodpressureapp.bloodpressuretracker,Blood Pressure Tracker,96241702,"50,000,000+",4.6941223,392045,1.9.6,74,HEALTH_AND_FITNESS,true,false,,2026-08-07T05:15:14.485Z,2026-08-07_1786079622
2026-08-07,com.tayu.tau.pedometer,Pedometer - Step Counter,88071165,"50,000,000+",4.7875085,1039238,5.61,49,HEALTH_AND_FITNESS,true,false,,2026-08-07T05:14:43.682Z,2026-08-07_1786079622
2026-08-07,com.xiaomi.wearable,Mi Fitness (Xiaomi Wear),79438241,"50,000,000+",4.4393635,1587119,3.57.0i,58,HEALTH_AND_FITNESS,true,false,,2026-08-07T05:14:55.316Z,2026-08-07_1786079622
2026-08-07,stepcounter.pedometer.stepstracker,Step Counter - Pedometer,70164620,"50,000,000+",4.831771,784724,1.5.6,6,HEALTH_AND_FITNESS,true,false,,2026-08-07T05:13:50.862Z,2026-08-07_1786079622
2026-08-07,com.clue.android,Clue: Period & Cycle Tracker,69299247,"50,000,000+",4.410354,1484822,264.0,69,HEALTH_AND_FITNESS,true,false,,2026-08-07T05:15:08.731Z,2026-08-07_1786079622
2026-08-07,pedometer.stepcounter.calorieburner.pedometerforwalking,Pedometer - Step Counter,64259519,"50,000,000+",4.818946,946306,2.5.2,31,HEALTH_AND_FITNESS,true,false,,2026-08-07T05:14:21.620Z,2026-08-07_1786079622
2026-08-07,com.yazio.android,Yazio: AI Calorie Tracker,57050650,"50,000,000+",4.4435196,843311,26.31.0,,,false,true,ai-tracker,2026-08-07T05:16:05.486Z,2026-08-07_1786079622
2026-08-07,steptracker.healthandfitness.walkingtracker.pedometer,Step Tracker - Pedometer,57041542,"50,000,000+",4.838019,809067,1.6.8,85,HEALTH_AND_FITNESS,true,false,,2026-08-07T05:15:28.870Z,2026-08-07_1786079622
2026-08-07,bodyfast.zero.fastingtracker.weightloss,Fasting - Intermittent Fasting,56514308,"50,000,000+",4.835926,974645,2.5.4,,,false,true,ai-tracker,2026-08-07T05:16:03.118Z,2026-08-07_1786079622
2026-08-07,com.noisefit,NoiseFit: Health & Fitness,55350602,"50,000,000+",4.4022627,2468162,5.2.9,5,HEALTH_AND_FITNESS,true,false,,2026-08-07T05:13:49.692Z,2026-08-07_1786079622
2026-08-07,weightloss.weightlossforwomen.workoutforwomen.womenworkout,Weight Loss for Women: Workout,47431350,"10,000,000+",4.7624893,453452,1.9.9,17,HEALTH_AND_FITNESS,true,false,,2026-08-07T05:14:04.044Z,2026-08-07_1786079622
2026-08-07,com.gen.workoutme,BetterMe: Health Coaching,45487681,"10,000,000+",4.474422,656229,11.27.0,,,false,true,ai-coach,2026-08-07T05:15:50.827Z,2026-08-07_1786079622
2026-08-07,com.healthifyme.basic,Healthify: AI Diet & Fitness,42560647,"10,000,000+",4.4324164,568623,v31.0,87,HEALTH_AND_FITNESS,true,true,ai-coach,2026-08-07T05:15:31.533Z,2026-08-07_1786079622
2026-08-07,com.heallo.skinexpert,Cure: Skin & Hair Experts,33212281,"10,000,000+",4.5433455,102685,3.49.1,,,false,true,d2c-condition,2026-08-07T05:15:54.424Z,2026-08-07_1786079622
2026-08-07,com.fitifyworkouts.bodyweight.workoutapp,"Fitify: Fitness, Home Workout",31734840,"10,000,000+",4.764744,550939,1.130.0,53,HEALTH_AND_FITNESS,true,false,,2026-08-07T05:14:48.877Z,2026-08-07_1786079622
2026-08-07,running.tracker.gps.map,Running App - GPS Run Tracker,31234982,"10,000,000+",4.787873,434329,1.9.6,59,HEALTH_AND_FITNESS,true,false,,2026-08-07T05:14:56.444Z,2026-08-07_1786079622
2026-08-07,fr.cnamts.it.activity,Compte ameli,28555787,"10,000,000+",4.21,503091,24.1.0,42,HEALTH_AND_FITNESS,true,false,,2026-08-07T05:14:35.020Z,2026-08-07_1786079622
2026-08-07,jawline.exercises.slim.face.yoga,Jawline Exercises - Face Yoga,27213508,"10,000,000+",4.806512,310769,1.2.9,35,HEALTH_AND_FITNESS,true,false,,2026-08-07T05:14:26.831Z,2026-08-07_1786079622
2026-08-07,bloodsugar.bloodsugarapp.diabetes.diabetesapp,Blood Sugar - Diabetes App,23593534,"10,000,000+",4.3307085,57433,1.3.7,33,HEALTH_AND_FITNESS,true,false,,2026-08-07T05:14:23.940Z,2026-08-07_1786079622
2026-08-07,daily.planner.routine.habits,Me+ Lifestyle Routine,23307145,"10,000,000+",4.429399,856970,2.0.8,,,false,true,ai-tracker,2026-08-07T05:16:04.292Z,2026-08-07_1786079622
2026-08-07,com.wsl.noom,Noom: Weight Loss & GLP-1 Care,22817927,"10,000,000+",2.63,314322,14.28.0,,,false,true,ai-coach,2026-08-07T05:15:53.152Z,2026-08-07_1786079622
2026-08-07,icici.lombard.ghi,IL TakeCare Insurance App,18697542,"10,000,000+",4.6105294,66058,4.1.25-prod,15,HEALTH_AND_FITNESS,true,false,,2026-08-07T05:14:01.709Z,2026-08-07_1786079622
2026-08-07,com.coveiot.android.boat,boAt Crest,18198741,"10,000,000+",4.5084596,171753,5.5.2,9,HEALTH_AND_FITNESS,true,false,,2026-08-07T05:13:54.362Z,2026-08-07_1786079622
2026-08-07,de.fastic.app,Fastic Weight Loss & Fasting,17959680,"10,000,000+",4.346523,421054,1.266.0,,,false,true,ai-tracker,2026-08-07T05:16:07.775Z,2026-08-07_1786079622
2026-08-07,fit.cure.android,cult.fit Gym Workout & Fitness,16538415,"10,000,000+",4.632415,141819,VARY,26,HEALTH_AND_FITNESS,true,true,fitness,2026-08-07T05:14:15.976Z,2026-08-07_1786079622
2026-08-07,com.stepsappgmbh.stepsapp,StepsApp – Step Counter,16470327,"10,000,000+",4.6825957,154126,6.8.4,71,HEALTH_AND_FITNESS,true,false,,2026-08-07T05:15:10.991Z,2026-08-07_1786079622
2026-08-07,com.boAt.wristgear,boAt Wearables,15804787,"10,000,000+",4.0085716,53353,3.5.4,23,HEALTH_AND_FITNESS,true,false,,2026-08-07T05:14:11.605Z,2026-08-07_1786079622
2026-08-07,dance.fit.zumba.weightloss.danceburn,Dancefitme: Fun Workouts,15755592,"10,000,000+",4.6587725,175267,4.50.0,91,HEALTH_AND_FITNESS,true,false,,2026-08-07T05:15:36.444Z,2026-08-07_1786079622
2026-08-07,com.finch.finch,Finch: Self-Care Pet,15422479,"10,000,000+",4.8420415,607267,3.73.194,43,HEALTH_AND_FITNESS,true,false,,2026-08-07T05:14:36.173Z,2026-08-07_1786079622
2026-08-07,com.walkfit.weightloss.steptracker.pedometer,Weight Loss Walking: WalkFit,15237193,"10,000,000+",4.0083566,107344,VARY,,,false,true,utility,2026-08-07T05:15:58.393Z,2026-08-07_1786079622
2026-08-07,com.traya.prod,Traya: Hair Loss Solutions,15051495,"10,000,000+",4.3275495,166468,1.9.2,2,HEALTH_AND_FITNESS,true,true,d2c-condition,2026-08-07T05:13:45.887Z,2026-08-07_1786079622
2026-08-07,com.titan.fastrack.reflex,Fastrack Smart World,14588331,"10,000,000+",4.2140946,247635,6.30.0.205585,13,HEALTH_AND_FITNESS,true,false,,2026-08-07T05:13:58.962Z,2026-08-07_1786079622
2026-08-07,com.divinememorygames.pedometer,Pedometer King - Step Counter,14431649,"10,000,000+",4.838009,95060,16.2-play,66,HEALTH_AND_FITNESS,true,false,,2026-08-07T05:15:04.702Z,2026-08-07_1786079622
2026-08-07,com.maxbupa.healthapp,Niva Bupa Health,13857459,"10,000,000+",4.5257516,130209,6.1.2,22,HEALTH_AND_FITNESS,true,false,,2026-08-07T05:14:10.440Z,2026-08-07_1786079622
2026-08-07,gymworkout.gym.gymlog.gymtrainer,Gym Workout Tracker: Gym Log,13321333,"10,000,000+",4.851757,226671,1.6.2,72,HEALTH_AND_FITNESS,true,false,,2026-08-07T05:15:12.189Z,2026-08-07_1786079622
2026-08-07,com.bodbot.trainer,BodBot AI Personal Trainer,12250807,"10,000,000+",4.646565,73291,6.285,83,HEALTH_AND_FITNESS,true,false,,2026-08-07T05:15:26.545Z,2026-08-07_1786079622
2026-08-07,com.kompanion.fasting.android,Kompanion: Weight Loss Plan,11208314,"10,000,000+",3.8720589,64863,2.0.3,,,false,true,ai-tracker,2026-08-07T05:16:06.635Z,2026-08-07_1786079622
2026-08-07,face.yoga.exercise.massage.skincare,"Face Yoga Exercises, Skin Care",11189285,"10,000,000+",4.776611,103029,1.5.4,84,HEALTH_AND_FITNESS,true,false,,2026-08-07T05:15:27.727Z,2026-08-07_1786079622
2026-08-07,com.fitness22.running,Running Distance Tracker +,10251745,"10,000,000+",4.579226,151257,3.9100,81,HEALTH_AND_FITNESS,true,false,,2026-08-07T05:15:23.339Z,2026-08-07_1786079622
2026-08-07,com.dnt.yoga.yogaforbeginners,Daily Yoga For Beginners,9944495,"5,000,000+",4.593985,37793,1.2.2.2,50,HEALTH_AND_FITNESS,true,false,,2026-08-07T05:14:44.889Z,2026-08-07_1786079622
2026-08-07,com.religare.healthinsurance,Care Health - Customer App,9322717,"5,000,000+",4.198184,71830,16.0,30,HEALTH_AND_FITNESS,true,false,,2026-08-07T05:14:20.479Z,2026-08-07_1786079622
2026-08-07,homeworkoutapp.homeworkout.fitness.workout.loseweight,Home Workout App: Fitness,9261361,"5,000,000+",4.783109,135944,1.4.2,61,HEALTH_AND_FITNESS,true,false,,2026-08-07T05:14:58.904Z,2026-08-07_1786079622
2026-08-07,stepcounter.steptracker.pedometer.calorie,Pedometer App - Step Counter,8828489,"5,000,000+",4.848719,104887,1.3.6,18,HEALTH_AND_FITNESS,true,false,,2026-08-07T05:14:05.240Z,2026-08-07_1786079622
2026-08-07,com.star.customer_app,Star Health,8809509,"5,000,000+",4.614524,349302,2.9.0,28,HEALTH_AND_FITNESS,true,false,,2026-08-07T05:14:18.235Z,2026-08-07_1786079622
2026-08-07,com.zip.blood.pressure,Blood Pressure Tracker,8779065,"5,000,000+",4.258969,35188,1.2.0,79,HEALTH_AND_FITNESS,true,false,,2026-08-07T05:15:20.814Z,2026-08-07_1786079622
2026-08-07,com.healthkart.healthkart,HealthKart: Fitness for All,8650396,"5,000,000+",4.5294766,112219,20.5.1,44,HEALTH_AND_FITNESS,true,false,,2026-08-07T05:14:37.337Z,2026-08-07_1786079622
2026-08-07,com.hevy,Hevy - Gym Log Workout Tracker,7714444,"5,000,000+",4.8317213,249048,3.1.8,92,HEALTH_AND_FITNESS,true,false,,2026-08-07T05:15:37.596Z,2026-08-07_1786079622
2026-08-07,life.simple,Simple・AI Weight Loss & Health,7286542,"5,000,000+",4.317814,136573,8.57.0,,,false,true,ai-coach,2026-08-07T05:15:49.548Z,2026-08-07_1786079622
2026-08-07,musclemonster.fitness.workout.home.gym.planner,Muscle Monster Workout Planner,7266499,"5,000,000+",4.7205925,84559,3.23.0,39,HEALTH_AND_FITNESS,true,false,,2026-08-07T05:14:31.419Z,2026-08-07_1786079622
2026-08-07,omegacentauri.mobi.simplestopwatch,Giant Stopwatch,7166574,"5,000,000+",4.0699706,5838,1.54,52,HEALTH_AND_FITNESS,true,false,,2026-08-07T05:14:47.151Z,2026-08-07_1786079622
2026-08-07,com.czw.freefit,Fere Fit,7126366,"5,000,000+",4.0653267,17638,V 5.6.49,73,HEALTH_AND_FITNESS,true,false,,2026-08-07T05:15:13.330Z,2026-08-07_1786079622
2026-08-07,premom.eh.com.ehpremomapp,Ovulation Tracker App - Premom,6891604,"5,000,000+",4.170503,36902,1.104.1,89,HEALTH_AND_FITNESS,true,false,,2026-08-07T05:15:34.105Z,2026-08-07_1786079622
